Date ;max_temp;min_temp;max_temp_app;min_temp_app;
2020-01-01;19.6;8.7;16.7;5.5;
2020-01-02;19.1;8.2;17.4;5.9;
2020-01-03;22.2;9.8;19.8;6.6;
2020-01-04;21.0;7.3;18.4;4.3;
2020-01-05;21.2;6.6;18.2;3.9;
2020-01-06;24.8;8.6;21.3;4.8;
2020-01-07;24.3;11.7;21.2;8.4;
2020-01-08;16.6;9.3;14.9;6.7;
2020-01-09;16.3;9.2;13.3;6.2;
2020-01-10;18.0;6.3;15.9;3.1;
2020-01-11;16.0;6.1;14.3;3.1;
2020-01-12;16.8;6.7;14.3;3.8;
2020-01-13;16.8;7.1;14.7;5.1;
2020-01-14;16.7;6.0;15.1;3.2;
2020-01-15;17.7;5.6;16.0;2.7;
2020-01-16;15.3;7.1;13.3;5.0;
2020-01-17;16.2;6.7;13.9;5.1;
2020-01-18;20.7;7.0;17.4;3.0;
2020-01-19;23.1;9.9;20.5;5.9;
2020-01-20;17.4;11.2;16.0;9.4;
2020-01-21;16.6;10.2;15.0;8.8;
2020-01-22;17.4;8.3;16.7;5.6;
2020-01-23;23.6;8.9;21.0;6.2;
2020-01-24;22.5;9.5;20.6;6.8;
2020-01-25;21.2;9.2;19.9;7.8;
2020-01-26;16.2;10.6;15.1;10.0;
2020-01-27;22.2;7.7;20.2;4.9;
2020-01-28;24.0;9.8;20.9;7.0;
2020-01-29;23.7;8.2;19.0;5.3;
2020-01-30;22.4;10.1;18.8;5.7;
2020-01-31;27.7;10.3;24.1;6.9;
2020-02-01;28.6;12.6;25.7;9.0;
2020-02-02;20.5;11.3;19.7;7.7;
2020-02-03;17.2;8.3;11.1;3.2;
2020-02-04;16.5;3.5;11.6;-1.3;
2020-02-05;16.1;4.3;12.1;-0.5;
2020-02-06;17.8;5.9;15.3;2.0;
2020-02-07;19.5;6.3;17.5;3.8;
2020-02-08;20.2;7.3;18.6;5.1;
2020-02-09;14.8;9.0;12.7;7.5;
2020-02-10;23.6;9.3;19.3;5.9;
2020-02-11;23.4;10.4;20.1;6.2;
2020-02-12;18.7;7.3;16.9;3.8;
2020-02-13;20.4;7.4;18.4;4.8;
2020-02-14;20.4;7.2;18.5;4.6;
2020-02-15;20.6;6.6;19.0;3.8;
2020-02-16;20.7;8.6;19.3;6.9;
2020-02-17;21.5;7.6;19.7;5.3;
2020-02-18;21.3;9.4;21.3;7.8;
2020-02-19;20.2;12.2;19.7;11.5;
2020-02-20;25.2;8.5;23.2;6.1;
2020-02-21;24.9;12.7;22.6;9.1;
2020-02-22;16.9;12.5;15.6;11.5;
2020-02-23;18.2;10.6;17.4;9.5;
2020-02-24;20.6;8.7;20.2;6.5;
2020-02-25;27.7;9.3;24.5;7.1;
2020-02-26;26.7;12.3;22.3;8.0;
2020-02-27;29.9;13.2;28.8;8.6;
2020-02-28;29.1;16.7;26.6;12.4;
2020-02-29;21.0;12.2;19.7;10.4;
2020-03-01;15.1;10.5;12.6;8.3;
2020-03-02;22.9;7.7;18.3;5.0;
2020-03-03;26.4;13.3;23.2;8.0;
2020-03-04;22.4;10.5;21.8;8.7;
2020-03-05;24.9;12.2;24.2;11.6;
2020-03-06;21.2;10.1;21.4;8.5;
2020-03-07;17.8;12.6;15.8;11.1;
2020-03-08;18.2;10.2;16.3;8.9;
2020-03-09;24.0;8.3;25.0;5.4;
2020-03-10;18.2;13.8;18.0;11.5;
2020-03-11;21.8;14.9;21.2;14.4;
2020-03-12;16.3;11.3;15.4;9.9;
2020-03-13;13.8;11.1;13.8;10.2;
2020-03-14;14.0;12.1;13.8;11.5;
